,Price,Address,Bd,Ba,Parking,Sqft,Maint. Fee,Time on market
371,"$579,000",2110 - 151 Dan Leckie Way,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $394,77 days
372,"$595,000",2906 - 115 Blue Jays Way,1BD,1BA,0 Parking,500-599 sqft,,
373,"$539,000",805 - 608 Richmond St W,1BD,1BA,0 Parking,494 sqft,Maint. Fee $339,77 days
374,"$559,900",819 - 410 Queens Quay W,1BD,1BA,1 Parking,605 sqft,Maint. Fee $618,78 days
375,"$639,000",2209 - 70 Temperance St,1+1BD,1BA,0 Parking,575 sqft,Maint. Fee $349,78 days
376,"$599,800",617 - 85 Queens Wharf Rd,1+1BD,1BA,0 Parking,595 sqft,Maint. Fee $400,78 days
377,"$599,000",PH44 - 250 Wellington St,1+1BD,1BA,1 Parking,588 sqft,Maint. Fee $490,78 days
378,"$588,000",1906 - 1121 Bay St,1BD,1BA,1 Parking,525 sqft,Maint. Fee $675,79 days
379,"$649,000",3703 - 5 St Joseph St,1BD,1BA,0 Parking,579 sqft,Maint. Fee $417,79 days
380,"$618,000",508 - 297 College St,1+1BD,1BA,0 Parking,579 sqft,Maint. Fee $419,79 days
381,"$575,000",503 - 33 Lombard St,1BD,1BA,1 Parking,560 sqft,Maint. Fee $544,79 days
382,"$599,900",914 - 1055 Bay St,1+1BD,1BA,1 Parking,499 sqft,Maint. Fee $479,79 days
383,"$625,000",1802 - 300 Front St W,1BD,1BA,0 Parking,582 sqft,Maint. Fee $327,80 days
384,"$629,000",809 - 80 Queens Wharf Rd,1+1BD,1BA,1 Parking,577 sqft,Maint. Fee $435,81 days
385,"$629,900",727 - 460 Adelaide St E,1+2BD,2BA,0 Parking,700 sqft,Maint. Fee $445,81 days
386,"$535,990",# 1810 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,535 sqft,Maint. Fee $327,83 days
387,"$649,990",1015 - 88 Blue Jays Way,1+1BD,1BA,0 Parking,619 sqft,Maint. Fee $530,83 days
388,"$628,000",716 - 57 St Joseph St,1BD,1BA,0 Parking,505 sqft,Maint. Fee $326,84 days
389,"$558,000",3609 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,540 sqft,Maint. Fee $340,84 days
390,"$621,000",1412 - 38 Elm St,1BD,1BA,0 Parking,749 sqft,Maint. Fee $670,84 days
391,"$649,000",820 - 155 Yorkville Ave,1+1BD,1BA,0 Parking,550 sqft,Maint. Fee $560,85 days
392,"$549,900",337 - 15 Iceboat Terr,1BD,1BA,1 Parking,510 sqft,Maint. Fee $420,85 days
393,"$619,000",1605 - 1121 Bay St,1+1BD,1BA,0 Parking,590 sqft,Maint. Fee $670,86 days
394,"$625,000",204 - 350 Wellington St W,1BD,1BA,1 Parking,660 sqft,Maint. Fee $753,86 days
395,"$599,000",#1245 - 250 Wellington St. W. St W,1BD,1BA,1 Parking,572 sqft,Maint. Fee $477,86 days
396,"$599,900",305 - 212 St George St,1BD,1BA,1 Parking,700-799 sqft,"Maint. Fee $1,007",86 days
397,"$568,800",421 - 22 Leader Lane,1BD,1BA,0 Parking,550 sqft,Maint. Fee $648,87 days
398,"$628,800",6611 - 14 York St,1BD,1BA,0 Parking,579 sqft,Maint. Fee $392,88 days
399,"$599,000",2106 - 330 Richmond St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $350,88 days
400,"$529,000",613 - 208 Queens Quay W,1BD,1BA,0 Parking,553 sqft,Maint. Fee $409,88 days
401,"$549,900",204 - 57 St Joseph St,1BD,1BA,0 Parking,518 sqft,Maint. Fee $334,88 days
402,"$558,000",510 - 85 Queens Wharf Rd,1BD,1BA,0 Parking,535 sqft,Maint. Fee $327,88 days
403,"$588,000",1901 - 10 Capreol Crt,1BD,1BA,1 Parking,517 sqft,Maint. Fee $425,88 days
404,"$649,000",3103 - 30 Grand Trunk Cres,1+1BD,1BA,1 Parking,651 sqft,Maint. Fee $670,90 days
405,"$620,000",701 - 1001 Bay St,1+1BD,1BA,1 Parking,682 sqft,Maint. Fee $573,91 days
406,"$649,900",517 - 1 King St W,1BD,1BA,0 Parking,644 sqft,Maint. Fee $774,91 days
407,"$649,000",3006 - 33 Bay St,1BD,1BA,0 Parking,590 sqft,Maint. Fee $358,91 days
408,"$639,000",439 - 22 Leader Lane,1BD,1BA,0 Parking,625 sqft,Maint. Fee $707,92 days
409,"$499,000",502 - 1121 Bay St,1BD,1BA,0 Parking,525 sqft,Maint. Fee $612,92 days
410,"$599,900",525 - 22 Leader Lane,1BD,1BA,0 Parking,451 sqft,Maint. Fee $545,94 days
411,"$575,000",1114Se - 177 Front St E,1BD,1BA,1 Parking,500-599 sqft,Maint. Fee $380,94 days
412,"$629,000",3111 - 295 Adelaide St W,1BD,1BA,0 Parking,508 sqft,Maint. Fee $339,95 days
413,"$625,000",808 - 199 Richmond St W,1BD,1BA,0 Parking,507 sqft,Maint. Fee $408,96 days
414,"$649,900",3506 - 28 Ted Rogers Way,1+1BD,1BA,0 Parking,631 sqft,Maint. Fee $505,97 days
415,"$559,000",401 - 435 Richmond St W,1BD,1BA,0 Parking,538 sqft,Maint. Fee $352,98 days
416,"$588,000",2409 - 8 The Esplanade Ave,1BD,1BA,0 Parking,534 sqft,Maint. Fee $374,98 days
417,"$599,000",1202 - 300 Front St W,1BD,1BA,0 Parking,582 sqft,Maint. Fee $335,99 days
418,"$598,800",505 - 1121 Bay St,1+1BD,1BA,0 Parking,555 sqft,Maint. Fee $614,99 days
419,"$569,900",502 - 435 Richmond St W,1BD,1BA,0 Parking,538 sqft,Maint. Fee $352,99 days
420,"$519,900",1202 E - 177 Front St E,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $333,101 days
421,"$585,000",623 - 15 Brunel Crt,1+1BD,1BA,1 Parking,595 sqft,Maint. Fee $394,101 days
422,"$629,000",913 - 140 Simcoe St,1+1BD,1BA,0 Parking,638 sqft,Maint. Fee $418,101 days
423,"$599,000",912 - 10 Queens Quay,1BD,1BA,1 Parking,710 sqft,Maint. Fee $786,102 days
424,"$569,000",613 - 89 Mccaul St,1BD,1BA,0 Parking,600-699 sqft,Maint. Fee $550,104 days
425,"$599,000",521 - 460 Adelaide St E,1+1BD,1BA,1 Parking,670 sqft,Maint. Fee $487,108 days
426,"$579,880",501 - 832 Bay St,1BD,1BA,0 Parking,613 sqft,Maint. Fee $342,114 days
427,"$649,990",321 - 80 Vanauley St,1+1BD,1BA,1 Parking,574 sqft,Maint. Fee $569,115 days
428,"$579,900",1101 - 70 Queens Wharf Rd S,1+1BD,1BA,0 Parking,579 sqft,Maint. Fee $362,117 days
429,"$574,000",145 - 71 Mccaul St,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $500,118 days
430,"$645,000",2906 - 45 Charles St E,1BD,1BA,0 Parking,510 sqft,Maint. Fee $310,124 days
431,"$598,888",601 - 199 Richmond St W,1+1BD,2BA,0 Parking,685 sqft,Maint. Fee $522,134 days
432,"$565,000",606 - 460 Adelaide St E,1BD,1BA,0 Parking,581 sqft,Maint. Fee $400,136 days
433,"$649,900",312 - 650 King St W,1BD,1BA,0 Parking,614 sqft,Maint. Fee $327,140 days
434,"$540,000",1713 W - 177 Front St E,1+1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $368,140 days
435,"$608,888",413 - 5 St Joseph St,1BD,1BA,0 Parking,625 sqft,Maint. Fee $398,144 days
436,"$638,000",406 - 1001 Bay St,1+1BD,1BA,1 Parking,642 sqft,Maint. Fee $550,148 days
437,"$599,000",703 - 393 King St W,1+1BD,1BA,1 Parking,661 sqft,Maint. Fee $643,151 days
438,"$598,888",812 - 111 Bathurst St,1BD,1BA,0 Parking,505 sqft,Maint. Fee $274,154 days
439,"$579,000",824 W - 177 Front St E,1BD,1BA,0 Parking,500-599 sqft,Maint. Fee $324,172 days
440,"$639,000",2705 - 426 University Ave,1BD,1BA,0 Parking,504 sqft,Maint. Fee $386,179 days
441,"$599,000",404 - 38 Stewart St,1BD,1BA,1 Parking,657 sqft,Maint. Fee $450,6 months
